"mapid","adxcode","regioncode","time","win","weights"
1,"4","1156110000","0",1,1
1,"3","1156110000","0",0,10
1,"7","1156110000","0",1,2
1,"6","1156150100","0",0,1
1,"9","1156110000","0",1,1
1,"8","1156430100","0",0,9
1,"8","1156430100","0",0,3
1,"3","1156430100","0",1,10
1,"8","1156361000","9",1,32
1,"2","1156441800","9",0,494
1,"5","1156510100","9",0,211
1,"8","1156330300","9",0,455
1,"3","1156430900","9",0,65
1,"8","1156371600","9",0,45
1,"3","1156130100","9",0,61
1,"2","1156410400","9",0,71
1,"1","1156640100","9",0,40
1,"4","1156511600","9",1,40
1,"2","1156320500","9",0,65
1,"5","1156445200","9",0,1307
1,"1","1156441900","9",0,1321
1,"4","1156340400","9",1,18
1,"4","1156130300","9",0,27
1,"4","1156310000","9",1,206
1,"4","1156110000","9",1,430
1,"6","1156510100","9",1,236
1,"10","1156630100","9",1,28
1,"2","1156340100","9",1,188
1,"6","1156150100","9",1,91
1,"9","1156350100","9",0,359
1,"1","1156110000","9",0,1841
1,"8","1156410100","9",0,2091
1,"10","1156150100","9",0,213
1,"6","1156330200","9",0,95
1,"5","1156360100","9",1,61
1,"7","1156420100","9",1,6
1,"8","1156421200","9",1,21
1,"9","1156440300","9",0,10991
1,"7","1156210800","9",0,22
1,"4","1156520100","9",0,98
1,"8","1156210200","9",1,122
1,"5","1156431300","9",1,48
1,"7","1156320500","9",0,244
1,"4","1156130600","9",0,140
1,"2","1156440600","9",0,2046
1,"7","1156370200","9",1,100
1,"4","1156411400","9",0,178
1,"4","1156430400","9",0,67
1,"2","1156450100","9",1,80
1,"2","1156331000","9",0,152
1,"3","1156421000","9",0,69
1,"10","1156210200","9",0,314
1,"1","1156150100","9",1,200
1,"6","1156410100","9",0,234
1,"9","1156330200","9",0,293
1,"9","1156620900","9",1,6
1,"3","1156513300","9",1,10
1,"8","1156110000","9",0,24195
1,"6","1156220100","9",0,1
1,"2","1156131100","9",0,55
1,"8","1156441900","9",1,1374
1,"4","1156130100","9",1,2
1,"3","1156340300","9",1,22
